subject,sex,age,bigram_freq,Conc_initial,concreteness,Freq_initial,word_freq,Group,Initial,diversity,Letters_initial,letters,POS_initial,POS_trailing,Phonemes_initial,Phonemes_trailing,Syll_initial,Syll_trailing,item,W_NW,accuracy,correct,correct_response,response_time,word_freq,freq_init,trans_prob
17,1,33,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,97.98387097,1,[word_response],452,7398,0,0
20,1,23,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,95.61403509,1,[word_response],486,7398,0,0
8,1,30,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,91.60839161,1,[word_response],493,7398,0,0
21,1,18,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,88.67924528,1,[word_response],502,7398,0,0
13,1,29,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,97.18309859,1,[word_response],502,7398,0,0
12,0,24,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,93.06358382,1,[word_response],519,7398,0,0
5,1,29,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,96.04743083,1,[word_response],530,7398,0,0
22,1,29,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,95.94202899,1,[word_response],555,7398,0,0
27,1,46,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,86.26865672,1,[word_response],569,7398,0,0
23,1,42,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,87.64705882,1,[word_response],588,7398,0,0
25,1,47,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,80.75313808,1,[word_response],602,7398,0,0
1,1,30,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,81.77777778,1,[word_response],628,7398,0,0
2,1,50,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,90.25787966,1,[word_response],668,7398,0,0
28,1,30,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,89.20863309,1,[word_response],670,7398,0,0
6,1,30,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,79.94100295,1,[word_response],692,7398,0,0
3,1,60,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,87.11484594,1,[word_response],716,7398,0,0
9,1,46,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,87.11484594,1,[word_response],716,7398,0,0
19,1,46,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,90.24390244,1,[word_response],722,7398,0,0
18,1,25,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,92.64705882,1,[word_response],725,7398,0,0
14,0,22,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,90.56603774,1,[word_response],738,7398,0,0
26,0,51,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,81.61290323,1,[word_response],843,7398,0,0
29,0,29,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,95,1,[word_response],867,7398,0,0
16,1,22,0,,3.97,,73.98,No diversity,solander,#N/A,8,4,Noun,Verb,,3,3,1,draw,w,89.58333333,1,[word_response],880,7398,0,0
13,1,29,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,96.93877551,1,[word_response],538,1183,0,0
17,1,33,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,97.59615385,1,[word_response],579,1183,0,0
18,1,25,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,92.71137026,1,[word_response],591,1183,0,0
12,0,24,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,92.77108434,1,[word_response],645,1183,0,0
5,1,29,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,95.78059072,1,[word_response],705,1183,0,0
8,1,30,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,92.26190476,1,[word_response],748,1183,0,0
1,1,30,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,81.65938865,1,[word_response],751,1183,0,0
23,1,42,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,87.15083799,1,[word_response],778,1183,0,0
29,0,29,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,96.07843137,1,[word_response],801,1183,0,0
27,1,46,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,85.57377049,1,[word_response],867,1183,0,0
3,1,60,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,85.40925267,1,[word_response],898,1183,0,0
9,1,46,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,85.40925267,1,[word_response],898,1183,0,0
19,1,46,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,90.82278481,1,[word_response],909,1183,0,0
16,1,22,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,90.53254438,1,[word_response],918,1183,0,0
25,1,47,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,79.24528302,1,[word_response],1047,1183,0,0
2,1,50,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,90.35087719,1,[word_response],1091,1183,0,0
20,1,23,0,,4.46,,11.83,No diversity,thurifer,#N/A,8,4,Noun,Noun,,3,3,1,bile,w,94.89051095,1,[word_response],1095,1183,0,0
13,1,29,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,97.59036145,1,[word_response],435,758,0,0
11,1,20,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,93.57798165,1,[word_response],455,758,0,0
7,0,38,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,88.65248227,1,[word_response],463,758,0,0
18,1,25,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,92.98780488,1,[word_response],463,758,0,0
17,1,33,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,98,1,[word_response],467,758,0,0
14,0,22,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,90.13605442,1,[word_response],478,758,0,0
10,1,21,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,95.61643836,1,[word_response],490,758,0,0
5,1,29,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,96.13899614,1,[word_response],511,758,0,0
22,1,29,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,95.80838323,1,[word_response],541,758,0,0
8,1,30,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,91.82389937,1,[word_response],548,758,0,0
1,1,30,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,81.30841122,1,[word_response],578,758,0,0
27,1,46,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,85.97560976,1,[word_response],596,758,0,0
3,1,60,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,86.70694864,1,[word_response],613,758,0,0
9,1,46,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,86.70694864,1,[word_response],613,758,0,0
12,0,24,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,92.85714286,1,[word_response],676,758,0,0
2,1,50,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,89.36170213,1,[word_response],682,758,0,0
19,1,46,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,90.73033708,1,[word_response],695,758,0,0
23,1,42,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,87.12871287,1,[word_response],707,758,0,0
6,1,30,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,80.95238095,1,[word_response],727,758,0,0
21,1,18,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,87.79342723,1,[word_response],778,758,0,0
28,1,30,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,89.09090909,1,[word_response],789,758,0,0
20,1,23,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,95,1,[word_response],798,758,0,0
16,1,22,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,90.2173913,1,[word_response],824,758,0,0
26,0,51,0,,3.39,,7.58,No diversity,uniped,#N/A,6,4,Noun,Noun,,3,3,1,dash,w,81.5625,1,[word_response],1019,758,0,0
14,0,22,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,89.31506849,1,[word_response],412,35758,0,0
21,1,18,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,87.33624454,1,[word_response],429,35758,0,0
13,1,29,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,97.20930233,1,[word_response],442,35758,0,0
7,0,38,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,88.59060403,1,[word_response],471,35758,0,0
10,1,21,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,95.4248366,1,[word_response],487,35758,0,0
8,1,30,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,92.44186047,1,[word_response],514,35758,0,0
11,1,20,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,93.52941176,1,[word_response],538,35758,0,0
5,1,29,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,95.83333333,1,[word_response],560,35758,0,0
2,1,50,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,89.47368421,1,[word_response],582,35758,0,0
18,1,25,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,92.90540541,1,[word_response],619,35758,0,0
23,1,42,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,87.4617737,1,[word_response],628,35758,0,0
28,1,30,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,89.41176471,1,[word_response],633,35758,0,0
12,0,24,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,93.03797468,1,[word_response],691,35758,0,0
20,1,23,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,95.03546099,1,[word_response],765,35758,0,0
6,1,30,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,77.16262976,1,[word_response],793,35758,0,0
25,1,47,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,79.9086758,1,[word_response],800,35758,0,0
27,1,46,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,86.11111111,1,[word_response],809,35758,0,0
29,0,29,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,96.1722488,1,[word_response],929,35758,0,0
22,1,29,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,96.41577061,1,[word_response],933,35758,0,0
19,1,46,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,90.95890411,1,[word_response],1380,35758,0,0
17,1,33,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,97.94871795,1,[word_response],1470,35758,0,0
26,0,51,0,,3.28,,357.58,No diversity,zoolatry,#N/A,8,8,Noun,Noun,,6,3,2,business,w,81.21387283,1,[word_response],1488,35758,0,0
14,0,22,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,90.19607843,1,[word_response],411,45286,127,0.566929134
8,1,30,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,86.04651163,1,[word_response],462,45286,127,0.566929134
7,0,38,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,88.32684825,1,[word_response],470,45286,127,0.566929134
10,1,21,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,95.18072289,1,[word_response],477,45286,127,0.566929134
5,1,29,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,95.6043956,1,[word_response],493,45286,127,0.566929134
18,1,25,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,92.34234234,1,[word_response],498,45286,127,0.566929134
1,1,30,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,75.6302521,1,[word_response],511,45286,127,0.566929134
23,1,42,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,86.08058608,1,[word_response],537,45286,127,0.566929134
13,1,29,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,95.65217391,1,[word_response],548,45286,127,0.566929134
21,1,18,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,87.87878788,1,[word_response],560,45286,127,0.566929134
12,0,24,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,85.71428571,1,[word_response],573,45286,127,0.566929134
27,1,46,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,84.76190476,1,[word_response],627,45286,127,0.566929134
25,1,47,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,77.12418301,1,[word_response],667,45286,127,0.566929134
2,1,50,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,89.13043478,1,[word_response],689,45286,127,0.566929134
22,1,29,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,96.53679654,1,[word_response],715,45286,127,0.566929134
3,1,60,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,85.22167488,1,[word_response],734,45286,127,0.566929134
9,1,46,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,85.22167488,1,[word_response],734,45286,127,0.566929134
20,1,23,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,94.28571429,1,[word_response],737,45286,127,0.566929134
26,0,51,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,80.75313808,1,[word_response],775,45286,127,0.566929134
6,1,30,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,68.7804878,1,[word_response],776,45286,127,0.566929134
11,1,20,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,93.61702128,1,[word_response],883,45286,127,0.566929134
28,1,30,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,91.22807018,1,[word_response],891,45286,127,0.566929134
17,1,33,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,97.31543624,1,[word_response],915,45286,127,0.566929134
19,1,46,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,88.1773399,1,[word_response],1043,45286,127,0.566929134
24,1,48,72,3.44,1.96,1.27,452.86,Low Diversity,revolve,1,7,6,Verb,Adverb,6,3,2,2,around,w,62.96296296,1,[word_response],1200,45286,127,0.566929134
8,1,30,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,91.7721519,1,[word_response],400,5518,165,0.509090909
1,1,30,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,82.10116732,1,[word_response],430,5518,165,0.509090909
10,1,21,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,95.37572254,1,[word_response],475,5518,165,0.509090909
13,1,29,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,97.56097561,1,[word_response],480,5518,165,0.509090909
5,1,29,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,96.06299213,1,[word_response],495,5518,165,0.509090909
17,1,33,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,97.89915966,1,[word_response],511,5518,165,0.509090909
3,1,60,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,85.81081081,1,[word_response],512,5518,165,0.509090909
9,1,46,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,85.81081081,1,[word_response],512,5518,165,0.509090909
18,1,25,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,92.44604317,1,[word_response],519,5518,165,0.509090909
7,0,38,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,89.42598187,1,[word_response],530,5518,165,0.509090909
27,1,46,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,85.89341693,1,[word_response],533,5518,165,0.509090909
25,1,47,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,81.17647059,1,[word_response],562,5518,165,0.509090909
14,0,22,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,89.67551622,1,[word_response],572,5518,165,0.509090909
20,1,23,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,94.97206704,1,[word_response],586,5518,165,0.509090909
11,1,20,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,93.52517986,1,[word_response],616,5518,165,0.509090909
6,1,30,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,81.21546961,1,[word_response],643,5518,165,0.509090909
28,1,30,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,88.75,1,[word_response],698,5518,165,0.509090909
2,1,50,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,90.06024096,1,[word_response],702,5518,165,0.509090909
21,1,18,84,4.88,4.44,1.65,55.18,Low Diversity,sickle,1,6,4,Noun,Noun,5,3,2,1,cell,w,88.35341365,1,[word_response],731,5518,165,0.509090909
