age,bigram_freq,concreteness,word_freq,Initial,diversity,letters,subject,sex,item,correct,response_time,trans_prob
30,19,4.26,10142,worldly,1,5,1,1,goods,1,464,0.076305221
30,,,0,dimmer,,,1,1,digets,1,641,0
30,12,1.81,45217,whacking,1,5,1,1,great,0,652,0.279069767
30,11,3.78,16465,croquet,1,4,1,1,club,1,566,0.076923077
30,0,3.39,758,uniped,#N/A,4,1,1,dash,1,578,0
30,,,0,uniped,,,1,1,dsah,1,639,0
30,363,2.07,5898,clearly,215,7,1,1,defined,1,474,0.023649749
30,0,2.67,182,jumentous,#N/A,4,1,1,toil,0,730,0
30,239,2.86,13265,living,154,5,1,1,alone,1,527,0.014930035
30,,,0,support,,,1,1,frie,1,587,0
30,,,0,runny,,,1,1,scorll,1,485,0
30,230,2.37,27813,must,448,4,1,1,keep,1,532,0.00316931
30,,,0,ghostly,,,1,1,lmip,1,595,0
30,,,0,logomachy,,,1,1,soto,1,590,0
30,,,0,very,,,1,1,braed,1,633,0
30,0,3.97,7398,solander,#N/A,4,1,1,draw,1,628,0
30,0,4.61,196,logomachy,#N/A,4,1,1,soot,0,573,0
30,,,0,nacarat,,,1,1,salst,1,632,0
30,22,3.3,49385,from,3081,6,1,1,number,1,530,5.31999E-05
30,0,4.46,1183,thurifer,#N/A,4,1,1,bile,1,751,0
30,383,4.04,17309,about,1217,5,1,1,eight,1,501,0.001943018
30,71,4.81,7792,carat,1,4,1,1,gold,1,435,0.496503497
30,,,0,from,,,1,1,godl,1,628,0
30,,,0,musket,,,1,1,leis,1,718,0
30,,,0,crusty,,,1,1,haed,0,548,0
30,107,2.08,7763,heart,120,7,1,1,failure,1,512,0.007792019
30,,,0,zoolatry,,,1,1,buisness,0,623,0
30,47,3.66,6325,common,269,6,1,1,object,1,507,0.002575484
30,0,3.9,13115,martlet,#N/A,5,1,1,press,1,634,0
30,0,3.89,1171,omophagy,#N/A,4,1,1,sigh,1,1075,0
30,,,0,carat,,,1,1,gruop,1,523,0
30,,,0,labarum,,,1,1,arae,1,599,0
30,,,0,thurifer,,,1,1,blie,1,707,0
30,33,4.89,4337,runny,1,4,1,1,nose,1,393,0.358695652
30,0,4.4,606,crotch,#N/A,6,1,1,sewing,1,765,0
30,,,0,martlet,,,1,1,perss,1,640,0
30,37,4.92,3770,crusty,1,5,1,1,bread,1,683,0.253424658
30,,,0,ratite,,,1,1,cirsp,1,530,0
30,350,1.78,8760,could,790,6,1,1,happen,1,434,0.002078484
30,,,0,heart,,,1,1,behnid,0,515,0
30,146,3.38,10700,very,987,4,1,1,deep,1,514,0.001186153
30,190,3.67,14309,just,895,6,1,1,inside,1,594,0.001466615
30,10,3.27,12939,cadence,1,6,1,1,design,1,478,0.192307692
30,,,0,lagging,,,1,1,yrads,1,509,0
30,,,0,must,,,1,1,efefct,1,634,0
30,32,4.77,4096,sinker,1,5,1,1,plate,0,453,0.470588235
30,,,0,cadence,,,1,1,nihgt,1,662,0
30,84,4.44,5518,sickle,1,4,1,1,cell,1,430,0.509090909
30,,,0,croquet,,,1,1,pbu,1,561,0
30,,,0,living,,,1,1,clel,1,541,0
30,,,0,sinker,,,1,1,haet,1,426,0
30,,,0,panurgic,,,1,1,satb,1,461,0
30,,,0,jumentous,,,1,1,tiol,1,487,0
30,,,0,wanker,,,1,1,aawy,1,485,0
30,,,0,hallowed,,,1,1,agll,1,454,0
30,,,0,screwy,,,1,1,kist,1,536,0
30,10,1.8,23361,marbled,1,6,1,1,effect,1,469,0.091743119
30,11,4.68,14104,musket,1,4,1,1,fire,1,407,0.183333333
30,0,4.89,406,nacarat,#N/A,5,1,1,salts,1,393,0
30,50,1.89,11494,spent,100,6,1,1,nearly,0,526,0.004243041
30,0,2.23,38747,wanker,#N/A,4,1,1,away,1,459,0
30,37,3,9518,research,284,8,1,1,campaign,1,524,0.001370777
30,0,4.47,431,screwy,#N/A,4,1,1,kits,0,874,0
30,,,0,solander,,,1,1,darw,1,683,0
30,,,0,about,,,1,1,nsoe,1,546,0
30,151,2.24,5218,will,1128,4,1,1,gain,1,480,0.000593166
30,,,0,spent,,,1,1,godos,1,605,0
21,,,0,stippled ,,,10,1,fcae,1,545,0
21,,,0,inner,,,10,1,ctiy,1,517,0
21,,,0,building,,,10,1,abvoe,1,515,0
21,,,0,rethinks,,,10,1,acecpt,0,449,0
21,,,0,credit,,,10,1,crad,1,556,0
21,,,0,date,,,10,1,awrad,1,518,0
21,,,0,bloody,,,10,1,hlel,1,466,0
21,,,0,gunboat,,,10,1,absnece,1,531,0
21,,,0,local,,,10,1,chidlren,1,588,0
21,,,0,vexes,,,10,1,lanugage,1,585,0
21,,,0,daily,,,10,1,psot,1,652,0
21,,,0,award,,,10,1,tilte,1,616,0
21,,,0,slug,,,10,1,acecss,0,514,0
21,,,0,wide,,,10,1,ragne,1,502,0
21,,,0,cycle,,,10,1,fnud,1,499,0
21,,,0,winds,,,10,1,acitve,1,1067,0
21,,,0,briskly,,,10,1,albe,1,646,0
21,,,0,abase,,,10,1,clal,1,661,0
21,,,0,other,,,10,1,hnad,1,500,0
21,,,0,slush,,,10,1,pratcice,0,659,0
21,,,0,faith,,,10,1,acorss,1,746,0
21,,,0,cash,,,10,1,folw,1,573,0
21,,,0,oaken,,,10,1,fiar,1,1015,0
21,,,0,systems,,,10,1,acutal,0,759,0
21,,,0,interest,,,10,1,aicd,0,546,0
21,,,0,enforced,,,10,1,fvie,1,573,0
21,,,0,many,,,10,1,dnoe,1,525,0
21,,,0,armed,,,10,1,focres,1,584,0
21,,,0,markup,,,10,1,wrie,1,625,0
21,,,0,really,,,10,1,rian,1,591,0
21,,,0,trillion,,,10,1,accuont,1,623,0
21,,,0,case,,,10,1,unoin,1,576,0
21,,,0,hoax,,,10,1,laeyr,1,568,0
21,,,0,before,,,10,1,grwoth,1,470,0
21,,,0,rustic,,,10,1,thnig,1,490,0
21,,,0,puck,,,10,1,tiems,1,579,0
21,,,0,last,,,10,1,nihgt,1,548,0
21,,,0,always,,,10,1,steret,1,505,0
21,,,0,index,,,10,1,clsoed,1,546,0
21,,,0,shot,,,10,1,daed,1,587,0
21,,,0,make,,,10,1,srue,1,634,0
21,,,0,craggy,,,10,1,watse,1,538,0
21,,,0,geese,,,10,1,stlye,1,606,0
21,,,0,time,,,10,1,amry,1,539,0
21,,,0,second,,,10,1,hlaf,1,471,0
21,,,0,chilli,,,10,1,acll,1,625,0
21,,,0,bile,,,10,1,ptah,1,617,0
21,,,0,hostile,,,10,1,rnik,1,442,0
21,,,0,quickly,,,10,1,allwo,1,529,0
21,,,0,good,,,10,1,adavnce,0,606,0
21,,,0,people,,,10,1,numebr,1,595,0
21,,,0,less,,,10,1,fuond,1,485,0
21,,,0,way,,,10,1,agere,1,492,0
21,,,0,recent,,,10,1,adrdess,1,495,0
21,,,0,funny,,,10,1,adlut,1,501,0
21,,,0,snuffles,,,10,1,moedl,1,446,0
21,,,0,ski,,,10,1,aicrraft,1,501,0
21,,,0,eighth,,,10,1,atcion,1,473,0
21,,,0,rugby,,,10,1,stgae,1,449,0
21,,,0,tides,,,10,1,muave,1,471,0
21,,,0,recede,,,10,1,scoks,1,489,0
21,,,0,barbed,,,10,1,folor,1,454,0
21,,,0,toxic,,,10,1,tset,1,453,0
21,,,0,berate,,,10,1,ivnolved,1,1316,0
21,,,0,their,,,10,1,fodo,1,646,0
21,,,0,glide,,,10,1,dorop,1,591,0
21,,,0,fifty,,,10,1,afarid,1,632,0
21,,,0,want,,,10,1,scayl,1,446,0
21,,,0,ozone,,,10,1,acheive,1,872,0
21,,,0,canned,,,10,1,aggs,1,582,0
21,,,0,oval,,,10,1,hispter,1,936,0
21,,,0,fart,,,10,1,ocurse,1,588,0
21,,,0,chow,,,10,1,trdae,1,478,0
21,,,0,give,,,10,1,langugae,1,573,0
21,,,0,have,,,10,1,sihgt,1,522,0
21,,,0,acid,,,10,1,adedd,1,455,0
21,,,0,meet,,,10,1,ogne,1,487,0
21,,,0,larval,,,10,1,ofod,1,462,0
21,,,0,drubs,,,10,1,nugde,1,502,0
21,,,0,year,,,10,1,hunderd,1,561,0
21,,,0,rapid,,,10,1,sprnig,1,525,0
21,,,0,coiled,,,10,1,shrot,1,674,0
21,,,0,pelvic,,,10,1,strete,1,597,0
21,,,0,large,,,10,1,wtis,1,527,0
21,,,0,fleet,,,10,1,adivce,0,466,0
21,,,0,secret,,,10,1,whsoe,1,696,0
21,,,0,reaches,,,10,1,timesr,1,518,0
21,,,0,gimlet,,,10,1,coidng,1,498,0
21,,,0,darn,,,10,1,agered,1,535,0
21,,,0,lifer ,,,10,1,hgus,1,499,0
21,,,0,canorous,,,10,1,corenr,1,481,0
21,0,3.52,39112,fipple,#N/A,5,10,1,state,1,412,0
21,35,3.3,49385,with,4777,6,10,1,number,1,517,5.36769E-05
21,186,2.38,22864,even,541,5,10,1,among,1,519,0.002580574
21,12,5,1021,gilded,2,4,10,1,cage,1,427,0.041522491
21,,,0,shady,,,10,1,depe,1,476,0
21,,,0,first,,,10,1,anunal,1,656,0
21,1071,3.13,10914,would,1036,6,10,1,appear,1,439,0.004196741
21,67,1.78,8154,first,1261,6,10,1,annual,1,462,0.000564448
21,12,4.61,7500,shady,1,6,10,1,corner,1,565,0.043478261
21,0,2.6,1150,inunct,#N/A,4,10,1,gall,1,750,0
21,,,0,volt,,,10,1,deifned,1,721,0
21,,,0,fipple,,,10,1,ssytem,1,450,0
21,600,1.66,31588,were,2752,6,10,1,almost,1,632,0.001858552
21,,,0,strict,,,10,1,campiagn,0,545,0
21,,,0,benthos,,,10,1,letf,1,652,0
21,12,2.94,44674,sweeper,1,6,10,1,system,1,1044,0.078947368
21,16,3.7,3755,musty,2,5,10,1,smell,1,522,0.113475177
21,,,0,effable,,,10,1,chesee,1,534,0
21,10,4.72,1353,lentil,1,4,10,1,soup,1,514,0.3125
21,,,0,shitty,,,10,1,durm,1,581,0
21,0,3.39,40274,miaow,#N/A,5,10,1,point,1,488,0
21,12,2.52,985,downright,2,4,10,1,rude,1,567,0.043010753
21,0,4.15,516,cadged,#N/A,4,10,1,limp,1,494,0
21,,,0,gilded,,,10,1,objetc,1,492,0
21,10,4.12,41547,polyp,1,5,10,1,group,1,538,0.113636364
21,34,3.7,47089,loony,1,4,10,1,left,1,414,0.225165563
21,,,0,deedy,,,10,1,meetr,1,488,0
21,375,2.14,19335,came,171,5,10,1,along,1,443,0.007949631
21,,,0,should,,,10,1,baer,1,428,0
21,,,0,certain,,,10,1,amuont,1,574,0
21,,,0,they,,,10,1,baet,1,460,0
21,0,4.52,36529,shitty,#N/A,5,10,1,night,1,428,0
21,768,2.74,15429,certain,300,6,10,1,amount,1,418,0.0355046
21,,,0,beady,,,10,1,insdie,1,473,0
21,21,4.85,29706,beady,2,4,10,1,eyes,1,439,0.375
21,0,4.9,710,canorous,#N/A,4,10,1,pony,1,446,0
21,10,4.7,2589,curd,1,6,10,1,cheese,1,428,0.097087379
21,64,2.61,21935,strict,38,5,10,1,sense,1,453,0.030932818
21,226,3.97,5675,they,1616,4,10,1,beat,1,468,0.000521368
21,,,0,lentil,,,10,1,alnoe,1,443,0
21,,,0,miaow,,,10,1,semll,1,491,0
21,367,3.48,48651,that,5217,5,10,1,place,1,464,0.000329035
21,0,3.86,468,glabrous,#N/A,4,10,1,tuck,1,801,0
21,,,0,plate,,,10,1,cgae,1,456,0
21,,,0,research,,,10,1,alnog,1,599,0
21,0,4.75,37906,benthos,#N/A,4,10,1,head,1,457,0
21,,,0,little,,,10,1,bbay,1,393,0
21,,,0,loony,,,10,1,numebr,1,452,0
21,0,3.07,475,abaya,#N/A,6,10,1,digest,1,788,0
21,10,4.96,985,snare,1,4,10,1,drum,1,573,0.104166667
21,,,0,hodiernal ,,,10,1,aronud,1,486,0
21,256,2.89,14421,your,1871,6,10,1,answer,1,420,0.001850553
21,84,2.04,5083,this,2909,7,10,1,ancient,0,597,0.000181331
21,,,0,even,,,10,1,aomng,1,518,0
21,47,3.66,6325,common,269,6,10,1,object,1,627,0.002575484
21,,,0,that,,,10,1,palce,1,498,0
21,19,4.8,3324,septic,2,4,10,1,tank,1,503,0.208791209
21,125,4.88,5799,should,564,4,10,1,bear,1,515,0.001123727
21,0,4.11,214,deedy,#N/A,6,10,1,scroll,1,520,0
21,,,0,glabrous,,,10,1,eeys,1,476,0
21,,,0,musty,,,10,1,mahcine,1,579,0
21,72,1.96,45286,revolve,1,6,10,1,around,1,477,0.566929134
21,,,0,will,,,10,1,appael,1,484,0
21,0,3.11,5268,hodiernal ,#N/A,4,10,1,lies,1,464,0
21,,,0,sweeper,,,10,1,gian,1,455,0
21,,,0,curd,,,10,1,failrue,1,573,0
21,73,5,9070,little,828,4,10,1,baby,1,470,0.00151764
21,,,0,downright,,,10,1,nealry,1,595,0
21,,,0,abaya,,,10,1,pian,1,541,0
21,,,0,revolve,,,10,1,lakc,1,506,0
21,117,1.73,11002,will,1128,6,10,1,appeal,1,574,0.000459606
21,0,4.12,41547,blotter,#N/A,5,10,1,group,1,457,0
21,,,0,would,,,10,1,appaer,1,504,0
21,,,0,cadged,,,10,1,takn,1,468,0
21,,,0,behave ,,,10,1,suop,1,1081,0
21,,,0,septic,,,10,1,ekep,1,479,0
21,0,4.71,3821,behave ,#N/A,3,10,1,pub,1,467,0
21,,,0,snare,,,10,1,ahppen,1,417,0
21,11,4.7,487,volt,1,5,10,1,meter,1,610,0.0859375
21,,,0,inunct,,,10,1,rdue,1,442,0
21,,,0,your,,,10,1,anwser,1,682,0
21,,,0,this,,,10,1,anicent,1,549,0
21,0,3.79,5957,effable,#N/A,4,10,1,heat,1,519,0
21,,,0,cell,,,10,1,swtich,1,564,0
21,,,0,polyp,,,10,1,egiht,1,486,0
21,,,0,with,,,10,1,nubmer,1,516,0
21,0,4.82,3678,panics,#N/A,5,10,1,yards,1,449,0
21,,,0,panics,,,10,1,gruop,1,433,0
21,,,0,blotter,,,10,1,sesne,1,442,0
21,0,2.23,38747,wanker,#N/A,4,10,1,away,1,644,0
21,11,4.77,16200,hallowed,1,6,10,1,ground,1,1755,0.083333333
21,,,0,musket,,,10,1,leis,1,507,0
21,,,0,solander,,,10,1,darw,1,424,0
21,,,0,from,,,10,1,godl,1,448,0
21,,,0,labarum,,,10,1,arae,1,495,0
21,0,4.46,1183,thurifer,#N/A,4,10,1,bile,0,517,0
21,,,0,nacarat,,,10,1,salst,1,553,0
21,,,0,common,,,10,1,gruond,1,508,0
21,,,0,panurgic,,,10,1,satb,1,449,0
21,230,2.37,27813,must,448,4,10,1,keep,1,408,0.00316931
21,,,0,zoolatry,,,10,1,buisness,0,450,0
21,,,0,jumentous,,,10,1,tiol,1,552,0
21,,,0,research,,,10,1,swtich,1,604,0
21,12,1.81,45217,whacking,1,5,10,1,great,1,532,0.279069767
21,,,0,about,,,10,1,nsoe,1,575,0
21,49,3.48,23698,lagging,1,6,10,1,behind,1,585,0.494949495
21,0,4.07,428,panurgic,#N/A,4,10,1,stab,1,483,0
21,0,4.61,196,logomachy,#N/A,4,10,1,soot,1,800,0
21,,,0,heart,,,10,1,behnid,1,609,0
21,80,2.04,10068,total,261,4,10,1,lack,1,505,0.004553734
21,,,0,ghostly,,,10,1,lmip,1,447,0
21,,,0,worldly,,,10,1,piont,1,1333,0
21,,,0,ratite,,,10,1,cirsp,1,520,0
21,,,0,must,,,10,1,efefct,1,540,0
21,,,0,carat,,,10,1,gruop,1,487,0
21,50,1.89,11494,spent,100,6,10,1,nearly,1,532,0.004243041
21,151,2.24,5218,will,1128,4,10,1,gain,1,577,0.000593166
21,,,0,support,,,10,1,frie,1,490,0
21,0,3.28,35758,zoolatry,#N/A,8,10,1,business,1,487,0
21,,,0,crotch,,,10,1,sewnig,1,468,0
21,,,0,spent,,,10,1,godos,1,474,0
21,107,2.08,7763,heart,120,7,10,1,failure,1,601,0.007792019
21,11,4.68,14104,musket,1,4,10,1,fire,1,619,0.183333333
21,,,0,omophagy,,,10,1,sihg,1,451,0
21,,,0,marbled,,,10,1,tcuk,1,443,0
21,0,4.47,431,screwy,#N/A,4,10,1,kits,1,514,0
21,0,3.97,7398,solander,#N/A,4,10,1,draw,1,445,0
21,,,0,sickle,,,10,1,sttae,1,443,0
21,,,0,wanker,,,10,1,aawy,1,460,0
21,0,3.9,13115,martlet,#N/A,5,10,1,press,1,427,0
21,,,0,logomachy,,,10,1,soto,1,500,0
21,350,1.78,8760,could,790,6,10,1,happen,1,433,0.002078484
21,,,0,runny,,,10,1,scorll,1,537,0
21,146,3.38,10700,very,987,4,10,1,deep,1,419,0.001186153
21,48,4.25,8938,support,208,7,10,1,machine,1,484,0.001608849
21,11,3.63,17613,ghostly,1,6,10,1,figure,1,482,0.042307692
21,0,3.89,1171,omophagy,#N/A,4,10,1,sigh,1,432,0
21,,,0,could,,,10,1,culb,1,514,0
21,,,0,hallowed,,,10,1,agll,1,422,0
21,383,4.04,17309,about,1217,5,10,1,eight,1,485,0.001943018
21,,,0,will,,,10,1,pltae,1,468,0
21,33,4.89,4337,runny,1,4,10,1,nose,1,400,0.358695652
21,,,0,uniped,,,10,1,dsah,1,506,0
21,,,0,sinker,,,10,1,haet,1,464,0
21,32,4.77,4096,sinker,1,5,10,1,plate,1,423,0.470588235
21,37,4.92,3770,crusty,1,5,10,1,bread,1,456,0.253424658
21,,,0,crusty,,,10,1,haed,1,431,0
21,0,3.72,35144,labarum,#N/A,4,10,1,area,1,459,0
21,,,0,dimmer,,,10,1,digets,0,886,0
21,19,4.26,10142,worldly,1,5,10,1,goods,1,683,0.076305221
21,,,0,very,,,10,1,braed,1,449,0
21,,,0,cadence,,,10,1,nihgt,1,714,0
21,,,0,croquet,,,10,1,pbu,1,501,0
21,,,0,clearly,,,10,1,graet,1,443,0
21,,,0,screwy,,,10,1,kist,1,514,0
21,,,0,just,,,10,1,deisgn,0,455,0
21,239,2.86,13265,living,154,5,10,1,alone,1,462,0.014930035
21,47,3.66,6325,common,269,6,10,1,object,1,525,0.002575484
21,84,4.44,5518,sickle,1,4,10,1,cell,1,475,0.509090909
21,,,0,living,,,10,1,clel,1,480,0
21,,,0,whacking,,,10,1,pnoy,1,534,0
21,0,3.69,798,ratite,#N/A,5,10,1,crisp,1,568,0
21,,,0,thurifer,,,10,1,blie,1,499,0
21,0,4.89,406,nacarat,#N/A,5,10,1,salts,1,513,0
21,,,0,total,,,10,1,figrue,1,597,0
21,11,4.07,3316,dimmer,2,6,10,1,switch,1,452,0.150684932
21,0,4.4,606,crotch,#N/A,6,10,1,sewing,1,644,0
21,,,0,martlet,,,10,1,perss,1,564,0
21,22,3.3,49385,from,3081,6,10,1,number,1,565,5.31999E-05
