age,bigram_freq,Conc_initial,concreteness,Freq_initial,Group,Initial,diversity,Letters_initial,letters,subject,POS_initial,POS_trailing,Phonemes_initial,Phonemes_trailing,sex,Syll_initial,Syll_trailing,item,W_NW,accuracy,correct,correct_response,dm_source_file,response_time,trans_prob,word_freq,freq_initial
21,0,,1.93,16.47,3,winds,27,5,6,10,Verb,Verb,,5,1,1,2,agreed,w,92.40506329,0,[word_response],subject-10.csv,445,0,14692,1647
21,0,4.18,3.82,1.04,3,fart,#N/A,4,6,10,Verb,Adverb,,4,1,1,1,course,w,93.81443299,1,[word_response],subject-10.csv,543,0,19694,104
21,0,3,2.04,141.09,3,meet,112,4,4,10,Verb,Verb,,3,1,1,1,gone,w,93.85964912,1,[word_response],subject-10.csv,460,0,19548,14109
21,0,,4.47,0.01,3,drubs,#N/A,5,5,10,Verb,Verb,,,1,1,1,nudge,w,93.96551724,1,[word_response],subject-10.csv,481,0,153,1
21,0,2.5,2.03,0.18,3,berate,#N/A,6,8,10,Verb,Verb,,7,1,2,2,involved,w,94.44444444,1,[word_response],subject-10.csv,556,0,19964,18
21,0,4.1,4,3.95,3,tides,4,5,5,10,Noun,Adjective,,,1,1,1,mauve,w,94.02985075,0,[word_response],subject-10.csv,492,0,222,395
21,0,3.28,4.14,0.11,3,lifer ,#N/A,6,4,10,Noun,Verb,,,1,2,1,hugs,w,94.11764706,1,[word_response],subject-10.csv,544,0,103,11
21,0,4.63,4.4,8.91,3,ski,17,3,8,10,Verb,Noun,,7,1,1,2,aircraft,w,94.44444444,1,[word_response],subject-10.csv,974,0,6203,891
21,0,4.04,2.5,6.46,3,oval,9,4,7,10,Adjective,Noun,,3,1,2,1,hipster,w,94.52054795,1,[word_response],subject-10.csv,656,0,19060,646
21,0,2.34,2.31,962.8,3,way,263,3,5,10,Adverb,Verb,,4,1,1,2,agree,w,95.0617284,1,[word_response],subject-10.csv,835,0,8181,96280
21,0,3.04,4.91,0.85,3,recede,#N/A,6,5,10,Verb,Noun,,,1,2,1,socks,w,95.12195122,1,[word_response],subject-10.csv,445,0,991,85
21,0,,3.03,0.14,3,gimlet,#N/A,6,6,10,Noun,Verb,,,1,2,2,coding,w,95.20958084,1,[word_response],subject-10.csv,642,0,494,14
21,0,3.25,3.2,737.78,3,year,343,4,7,10,Noun,Noun,,6,1,1,2,hundred,w,95.26627219,1,[word_response],subject-10.csv,463,0,19109,73778
21,0,,4,1.93,3,chilli,5,6,4,10,Noun,Verb,,3,1,2,1,call,w,94.41340782,1,[word_response],subject-10.csv,435,0,19484,193
21,0,2.82,4.53,0.12,3,snuffles,#N/A,8,5,10,Verb,Noun,,,1,2,2,model,w,94.56521739,1,[word_response],subject-10.csv,516,0,13335,12
21,0,3.7,4.69,15.35,3,reaches,16,7,6,10,Verb,Noun,,,1,2,2,timers,w,94.59459459,1,[word_response],subject-10.csv,520,0,51,1535
20,0,,3.08,0.14,3,stippled ,#N/A,9,5,11,Verb,Noun,,4,1,2,1,trade,w,100,1,[word_response],subject-11.csv,551,0,19981,14
20,0,4.36,2.53,0.07,3,gunboat,#N/A,7,5,11,Noun,Verb,,4,1,2,1,found,w,100,1,[word_response],subject-11.csv,517,0,48923,7
20,0,,1.93,16.47,3,winds,27,5,6,11,Verb,Verb,,5,1,1,2,agreed,w,100,1,[word_response],subject-11.csv,575,0,14692,1647
20,0,,1.76,3.98,3,geese,4,5,4,11,Noun,Noun,,,1,1,1,wits,w,95.23809524,0,[word_response],subject-11.csv,905,0,400,398
20,0,2.72,3.68,1.22,3,trillion,#N/A,8,5,11,Noun,Verb,,,1,2,1,droop,w,97.22222222,1,[word_response],subject-11.csv,635,0,77,122
20,0,2.94,3.61,172.76,3,systems,154,7,5,11,Noun,Adjective,,,1,2,1,short,w,97.77777778,1,[word_response],subject-11.csv,1033,0,18652,17276
20,0,2.83,2.41,5.09,3,briskly,8,7,5,11,Adjective,Verb,,3,1,2,2,allow,w,97.87234043,1,[word_response],subject-11.csv,690,0,11469,509
20,0,2,4.75,0.05,3,vexes,#N/A,5,6,11,Verb,Noun,,5,1,2,1,street,w,96.61016949,0,[word_response],subject-11.csv,1212,0,19614,5
20,0,,3.3,0.06,3,abase,#N/A,5,6,11,Verb,Noun,,5,1,2,2,number,w,96.66666667,1,[word_response],subject-11.csv,571,0,49385,6
30,,,0,,0,snuffles,,,5,1,,,,,1,,,moedl,nw,72.72727273,1,[nonword_response],subject-1.csv,500,0,0,0
20,0,4.64,4.8,190.4,3,building,177,8,4,11,Noun,Noun,6,3,1,2,1,food,w,95.77464789,1,[word_response],subject-11.csv,657,0,18992,19040
20,0,3.54,1.68,0.19,3,oaken,#N/A,5,5,11,Adjective,Determiner,,3,1,2,1,whose,w,94.73684211,0,[word_response],subject-11.csv,1219,0,19834,19
20,0,3.64,2.35,32.48,3,cycle,44,5,8,11,Verb,Noun,,7,1,2,2,language,w,92.77108434,1,[word_response],subject-11.csv,829,0,18778,3248
20,0,1.64,4.56,52.8,3,faith,49,5,4,11,Noun,Noun,,,1,1,1,rink,w,93.25842697,1,[word_response],subject-11.csv,1075,0,141,5280
20,0,2.17,4.22,0.05,3,rethinks,#N/A,8,5,11,Verb,Adjective,,,1,2,2,scaly,w,92.30769231,0,[word_response],subject-11.csv,1301,0,75,5
20,0,,4.47,0.01,3,drubs,#N/A,5,5,11,Verb,Verb,,,1,1,1,nudge,w,92.52336449,1,[word_response],subject-11.csv,502,0,153,1
20,0,3.28,4.14,0.11,3,lifer ,#N/A,6,4,11,Noun,Verb,,,1,2,1,hugs,w,91.74311927,0,[word_response],subject-11.csv,533,0,103,11
20,0,2.5,2.03,0.18,3,berate,#N/A,6,8,11,Verb,Verb,,7,1,2,2,involved,w,92.03539823,1,[word_response],subject-11.csv,658,0,19964,18
20,0,4.18,3.82,1.04,3,fart,#N/A,4,6,11,Verb,Adverb,,4,1,1,1,course,w,91.73553719,1,[word_response],subject-11.csv,587,0,19694,104
20,0,3,2.04,141.09,3,meet,112,4,4,11,Verb,Verb,,3,1,1,1,gone,w,92.24806202,1,[word_response],subject-11.csv,646,0,19548,14109
20,0,4.63,4.4,8.91,3,ski,17,3,8,11,Verb,Noun,,7,1,1,2,aircraft,w,92.08633094,1,[word_response],subject-11.csv,1390,0,6203,891
20,0,4.1,4,3.95,3,tides,4,5,5,11,Noun,Adjective,,,1,1,1,mauve,w,92.5170068,1,[word_response],subject-11.csv,633,0,222,395
20,0,,4,1.93,3,chilli,5,6,4,11,Noun,Verb,,3,1,2,1,call,w,92.71523179,1,[word_response],subject-11.csv,928,0,19484,193
20,0,4.04,2.5,6.46,3,oval,9,4,7,11,Adjective,Noun,,3,1,2,1,hipster,w,92.85714286,1,[word_response],subject-11.csv,978,0,19060,646
20,0,3.7,4.69,15.35,3,reaches,16,7,6,11,Verb,Noun,,,1,2,2,timers,w,92.30769231,0,[word_response],subject-11.csv,1733,0,51,1535
20,0,2.82,4.53,0.12,3,snuffles,#N/A,8,5,11,Verb,Noun,,,1,2,2,model,w,92.02453988,1,[word_response],subject-11.csv,722,0,13335,12
20,0,3.25,3.2,737.78,3,year,343,4,7,11,Noun,Noun,,6,1,1,2,hundred,w,91.86046512,1,[word_response],subject-11.csv,2766,0,19109,73778
20,0,3.04,4.91,0.85,3,recede,#N/A,6,5,11,Verb,Noun,,,1,2,1,socks,w,92.09039548,1,[word_response],subject-11.csv,681,0,991,85
20,0,2.34,2.31,962.8,3,way,263,3,5,11,Adverb,Verb,,4,1,1,2,agree,w,92.26519337,1,[word_response],subject-11.csv,755,0,8181,96280
20,0,,3.03,0.14,3,gimlet,#N/A,6,6,11,Noun,Verb,,,1,2,2,coding,w,92.47311828,1,[word_response],subject-11.csv,728,0,494,14
30,,,0,,0,bile,,,4,1,,,,,1,,,ptah,nw,76.47058824,1,[nonword_response],subject-1.csv,437,0,0,0
24,0,,1.93,16.47,3,winds,27,5,6,12,Verb,Verb,,5,0,1,2,agreed,w,92.63157895,1,[word_response],subject-12.csv,493,0,14692,1647
24,0,2.17,4.22,0.05,3,rethinks,#N/A,8,5,12,Verb,Adjective,,,0,2,2,scaly,w,92.30769231,0,[word_response],subject-12.csv,662,0,75,5
24,0,,1.76,3.98,3,geese,4,5,4,12,Noun,Noun,,,0,1,1,wits,w,90.82125604,0,[word_response],subject-12.csv,507,0,400,398
24,0,1.64,4.56,52.8,3,faith,49,5,4,12,Noun,Noun,,,0,1,1,rink,w,90.99526066,1,[word_response],subject-12.csv,683,0,141,5280
24,0,,3.08,0.14,3,stippled ,#N/A,9,5,12,Verb,Noun,,4,0,2,1,trade,w,91.07981221,1,[word_response],subject-12.csv,762,0,19981,14
24,0,2,4.75,0.05,3,vexes,#N/A,5,6,12,Verb,Noun,,5,0,2,1,street,w,91.24423963,1,[word_response],subject-12.csv,732,0,19614,5
24,0,2.72,3.68,1.22,3,trillion,#N/A,8,5,12,Noun,Verb,,,0,2,1,droop,w,91.03139013,0,[word_response],subject-12.csv,926,0,77,122
24,0,4.36,2.53,0.07,3,gunboat,#N/A,7,5,12,Noun,Verb,,4,0,2,1,found,w,91.11111111,1,[word_response],subject-12.csv,711,0,48923,7
24,0,4.64,4.8,190.4,3,building,177,8,4,12,Noun,Noun,6,3,0,2,1,food,w,90.82969432,1,[word_response],subject-12.csv,645,0,18992,19040
24,0,3.64,2.35,32.48,3,cycle,44,5,8,12,Verb,Noun,,7,0,2,2,language,w,90.79497908,1,[word_response],subject-12.csv,1139,0,18778,3248
24,0,2.94,3.61,172.76,3,systems,154,7,5,12,Noun,Adjective,,,0,2,1,short,w,91.26984127,1,[word_response],subject-12.csv,596,0,18652,17276
24,0,3.54,1.68,0.19,3,oaken,#N/A,5,5,12,Adjective,Determiner,,3,0,2,1,whose,w,91.22137405,1,[word_response],subject-12.csv,1040,0,19834,19
24,0,,3.3,0.06,3,abase,#N/A,5,6,12,Verb,Noun,,5,0,2,2,number,w,91.20879121,1,[word_response],subject-12.csv,706,0,49385,6
24,0,2.83,2.41,5.09,3,briskly,8,7,5,12,Adjective,Verb,,3,0,2,2,allow,w,91.24087591,1,[word_response],subject-12.csv,1183,0,11469,509
24,0,4.04,2.5,6.46,3,oval,9,4,7,12,Adjective,Noun,,3,0,2,1,hipster,w,91.63763066,1,[word_response],subject-12.csv,928,0,19060,646
24,0,3.28,4.14,0.11,3,lifer ,#N/A,6,4,12,Noun,Verb,,,0,2,1,hugs,w,91.80887372,1,[word_response],subject-12.csv,884,0,103,11
24,0,4.18,3.82,1.04,3,fart,#N/A,4,6,12,Verb,Adverb,,4,0,1,1,course,w,92.18241042,1,[word_response],subject-12.csv,641,0,19694,104
24,0,,4,1.93,3,chilli,5,6,4,12,Noun,Verb,,3,0,2,1,call,w,92.01277955,1,[word_response],subject-12.csv,499,0,19484,193
24,0,,4.47,0.01,3,drubs,#N/A,5,5,12,Verb,Verb,,,0,1,1,nudge,w,92.06349206,1,[word_response],subject-12.csv,737,0,153,1
24,0,2.34,2.31,962.8,3,way,263,3,5,12,Adverb,Verb,,4,0,1,2,agree,w,92.11356467,1,[word_response],subject-12.csv,887,0,8181,96280
24,0,3,2.04,141.09,3,meet,112,4,4,12,Verb,Verb,,3,0,1,1,gone,w,92.13836478,1,[word_response],subject-12.csv,604,0,19548,14109
24,0,4.63,4.4,8.91,3,ski,17,3,8,12,Verb,Noun,,7,0,1,2,aircraft,w,92.35474006,1,[word_response],subject-12.csv,823,0,6203,891
24,0,3.04,4.91,0.85,3,recede,#N/A,6,5,12,Verb,Noun,,,0,2,1,socks,w,92.21556886,0,[word_response],subject-12.csv,640,0,991,85
24,0,2.5,2.03,0.18,3,berate,#N/A,6,8,12,Verb,Verb,,7,0,2,2,involved,w,92.12827988,1,[word_response],subject-12.csv,606,0,19964,18
24,0,,3.03,0.14,3,gimlet,#N/A,6,6,12,Noun,Verb,,,0,2,2,coding,w,92.17391304,1,[word_response],subject-12.csv,714,0,494,14
24,0,3.25,3.2,737.78,3,year,343,4,7,12,Noun,Noun,,6,0,1,2,hundred,w,92.19653179,1,[word_response],subject-12.csv,522,0,19109,73778
24,0,2.82,4.53,0.12,3,snuffles,#N/A,8,5,12,Verb,Noun,,,0,2,2,model,w,92.24137931,1,[word_response],subject-12.csv,593,0,13335,12
24,0,4.1,4,3.95,3,tides,4,5,5,12,Noun,Adjective,,,0,1,1,mauve,w,92.02279202,0,[word_response],subject-12.csv,496,0,222,395
24,0,3.7,4.69,15.35,3,reaches,16,7,6,12,Verb,Noun,,,0,2,2,timers,w,92.04545455,1,[word_response],subject-12.csv,717,0,51,1535
29,0,3.7,4.69,15.35,3,reaches,16,7,6,13,Verb,Noun,,,1,2,2,timers,w,100,1,[word_response],subject-13.csv,853,0,51,1535
29,0,,3.03,0.14,3,gimlet,#N/A,6,6,13,Noun,Verb,,,1,2,2,coding,w,92.85714286,0,[word_response],subject-13.csv,532,0,494,14
29,0,3.28,4.14,0.11,3,lifer ,#N/A,6,4,13,Noun,Verb,,,1,2,1,hugs,w,96.55172414,1,[word_response],subject-13.csv,445,0,103,11
29,0,,4,1.93,3,chilli,5,6,4,13,Noun,Verb,,3,1,2,1,call,w,96.66666667,1,[word_response],subject-13.csv,501,0,19484,193
29,0,4.04,2.5,6.46,3,oval,9,4,7,13,Adjective,Noun,,3,1,2,1,hipster,w,93.75,1,[word_response],subject-13.csv,529,0,19060,646
29,0,2.34,2.31,962.8,3,way,263,3,5,13,Adverb,Verb,,4,1,1,2,agree,w,94.11764706,1,[word_response],subject-13.csv,565,0,8181,96280
29,0,4.1,4,3.95,3,tides,4,5,5,13,Noun,Adjective,,,1,1,1,mauve,w,94.44444444,1,[word_response],subject-13.csv,605,0,222,395
29,0,,4.47,0.01,3,drubs,#N/A,5,5,13,Verb,Verb,,,1,1,1,nudge,w,93.18181818,1,[word_response],subject-13.csv,495,0,153,1
29,0,3.25,3.2,737.78,3,year,343,4,7,13,Noun,Noun,,6,1,1,2,hundred,w,93.47826087,1,[word_response],subject-13.csv,496,0,19109,73778
29,0,2.82,4.53,0.12,3,snuffles,#N/A,8,5,13,Verb,Noun,,,1,2,2,model,w,93.75,1,[word_response],subject-13.csv,462,0,13335,12
29,0,3,2.04,141.09,3,meet,112,4,4,13,Verb,Verb,,3,1,1,1,gone,w,94,1,[word_response],subject-13.csv,580,0,19548,14109
29,0,4.18,3.82,1.04,3,fart,#N/A,4,6,13,Verb,Adverb,,4,1,1,1,course,w,94.33962264,1,[word_response],subject-13.csv,505,0,19694,104
29,0,4.63,4.4,8.91,3,ski,17,3,8,13,Verb,Noun,,7,1,1,2,aircraft,w,95.16129032,1,[word_response],subject-13.csv,561,0,6203,891
29,0,2.5,2.03,0.18,3,berate,#N/A,6,8,13,Verb,Verb,,7,1,2,2,involved,w,95.83333333,1,[word_response],subject-13.csv,457,0,19964,18
29,0,3.04,4.91,0.85,3,recede,#N/A,6,5,13,Verb,Noun,,,1,2,1,socks,w,96.38554217,1,[word_response],subject-13.csv,526,0,991,85
22,0,,3.3,0.06,3,abase,#N/A,5,6,14,Verb,Noun,,5,0,2,2,number,w,87.5,1,[word_response],subject-14.csv,506,0,49385,6
22,0,,1.93,16.47,3,winds,27,5,6,14,Verb,Verb,,5,0,1,2,agreed,w,86.66666667,0,[word_response],subject-14.csv,590,0,14692,1647
22,0,4.64,4.8,190.4,3,building,177,8,4,14,Noun,Noun,6,3,0,2,1,food,w,87.5,1,[word_response],subject-14.csv,366,0,18992,19040
22,0,2.72,3.68,1.22,3,trillion,#N/A,8,5,14,Noun,Verb,,,0,2,1,droop,w,88.88888889,1,[word_response],subject-14.csv,407,0,77,122
22,0,1.64,4.56,52.8,3,faith,49,5,4,14,Noun,Noun,,,0,1,1,rink,w,92.59259259,1,[word_response],subject-14.csv,497,0,141,5280
22,0,2.94,3.61,172.76,3,systems,154,7,5,14,Noun,Adjective,,,0,2,1,short,w,89.18918919,1,[word_response],subject-14.csv,583,0,18652,17276
22,0,2,4.75,0.05,3,vexes,#N/A,5,6,14,Verb,Noun,,5,0,2,1,street,w,88.0952381,1,[word_response],subject-14.csv,499,0,19614,5
22,0,,1.76,3.98,3,geese,4,5,4,14,Noun,Noun,,,0,1,1,wits,w,88.37209302,1,[word_response],subject-14.csv,721,0,400,398
22,0,2.83,2.41,5.09,3,briskly,8,7,5,14,Adjective,Verb,,3,0,2,2,allow,w,88.63636364,1,[word_response],subject-14.csv,484,0,11469,509
22,0,2.17,4.22,0.05,3,rethinks,#N/A,8,5,14,Verb,Adjective,,,0,2,2,scaly,w,87.5,0,[word_response],subject-14.csv,750,0,75,5
22,0,,3.08,0.14,3,stippled ,#N/A,9,5,14,Verb,Noun,,4,0,2,1,trade,w,91.35802469,1,[word_response],subject-14.csv,440,0,19981,14
22,0,3.64,2.35,32.48,3,cycle,44,5,8,14,Verb,Noun,,7,0,2,2,language,w,91.46341463,1,[word_response],subject-14.csv,554,0,18778,3248
22,0,3.54,1.68,0.19,3,oaken,#N/A,5,5,14,Adjective,Determiner,,3,0,2,1,whose,w,91.86046512,1,[word_response],subject-14.csv,493,0,19834,19
30,,,0,,0,secret,,,5,1,,,,,1,,,whsoe,nw,78.94736842,1,[nonword_response],subject-1.csv,460,0,0,0
22,0,4.36,2.53,0.07,3,gunboat,#N/A,7,5,14,Noun,Verb,,4,0,2,1,found,w,90.42553191,1,[word_response],subject-14.csv,421,0,48923,7
22,0,4.63,4.4,8.91,3,ski,17,3,8,14,Verb,Noun,,7,0,1,2,aircraft,w,91.30434783,1,[word_response],subject-14.csv,592,0,6203,891
22,0,2.82,4.53,0.12,3,snuffles,#N/A,8,5,14,Verb,Noun,,,0,2,2,model,w,90.51724138,0,[word_response],subject-14.csv,450,0,13335,12
22,0,3.28,4.14,0.11,3,lifer ,#N/A,6,4,14,Noun,Verb,,,0,2,1,hugs,w,90.76923077,1,[word_response],subject-14.csv,541,0,103,11
22,0,3,2.04,141.09,3,meet,112,4,4,14,Verb,Verb,,3,0,1,1,gone,w,91.04477612,1,[word_response],subject-14.csv,504,0,19548,14109
22,0,4.04,2.5,6.46,3,oval,9,4,7,14,Adjective,Noun,,3,0,2,1,hipster,w,91.11111111,1,[word_response],subject-14.csv,685,0,19060,646
22,0,,3.03,0.14,3,gimlet,#N/A,6,6,14,Noun,Verb,,,0,2,2,coding,w,91.30434783,1,[word_response],subject-14.csv,450,0,494,14
22,0,,4.47,0.01,3,drubs,#N/A,5,5,14,Verb,Verb,,,0,1,1,nudge,w,90.97222222,1,[word_response],subject-14.csv,568,0,153,1
22,0,3.7,4.69,15.35,3,reaches,16,7,6,14,Verb,Noun,,,0,2,2,timers,w,90.47619048,1,[word_response],subject-14.csv,819,0,51,1535
22,0,2.34,2.31,962.8,3,way,263,3,5,14,Adverb,Verb,,4,0,1,2,agree,w,90.38461538,1,[word_response],subject-14.csv,618,0,8181,96280
22,0,,4,1.93,3,chilli,5,6,4,14,Noun,Verb,,3,0,2,1,call,w,90.24390244,1,[word_response],subject-14.csv,359,0,19484,193
22,0,4.1,4,3.95,3,tides,4,5,5,14,Noun,Adjective,,,0,1,1,mauve,w,88.82352941,0,[word_response],subject-14.csv,466,0,222,395
22,0,4.18,3.82,1.04,3,fart,#N/A,4,6,14,Verb,Adverb,,4,0,1,1,course,w,89.14285714,1,[word_response],subject-14.csv,553,0,19694,104
22,0,3.25,3.2,737.78,3,year,343,4,7,14,Noun,Noun,,6,0,1,2,hundred,w,89.38547486,1,[word_response],subject-14.csv,539,0,19109,73778
22,0,2.5,2.03,0.18,3,berate,#N/A,6,8,14,Verb,Verb,,7,0,2,2,involved,w,89.44444444,1,[word_response],subject-14.csv,744,0,19964,18
22,0,3.04,4.91,0.85,3,recede,#N/A,6,5,14,Verb,Noun,,,0,2,1,socks,w,89.67391304,1,[word_response],subject-14.csv,603,0,991,85
,0,2.17,4.22,0.05,3,rethinks,#N/A,8,5,,Verb,Adjective,,,,2,2,scaly,w,50,0,[word_response],subject-15.csv,77,0,75,5
,0,,1.93,16.47,3,winds,27,5,6,,Verb,Verb,,5,,1,2,agreed,w,57.89473684,0,[word_response],subject-15.csv,3000,0,14692,1647
,0,2.72,3.68,1.22,3,trillion,#N/A,8,5,,Noun,Verb,,,,2,1,droop,w,52.38095238,0,[word_response],subject-15.csv,2541,0,77,122
,0,2.83,2.41,5.09,3,briskly,8,7,5,,Adjective,Verb,,3,,2,2,allow,w,48.71794872,0,[word_response],subject-15.csv,1128,0,11469,509
,0,4.36,2.53,0.07,3,gunboat,#N/A,7,5,,Noun,Verb,,4,,2,1,found,w,47.61904762,0,[word_response],subject-15.csv,3000,0,48923,7
,0,,3.3,0.06,3,abase,#N/A,5,6,,Verb,Noun,,5,,2,2,number,w,41.66666667,0,[word_response],subject-15.csv,630,0,49385,6
,0,1.64,4.56,52.8,3,faith,49,5,4,,Noun,Noun,,,,1,1,rink,w,42,0,[word_response],subject-15.csv,1789,0,141,5280
,0,,1.76,3.98,3,geese,4,5,4,,Noun,Noun,,,,1,1,wits,w,43.10344828,0,[word_response],subject-15.csv,3000,0,400,398
,0,2,4.75,0.05,3,vexes,#N/A,5,6,,Verb,Noun,,5,,2,1,street,w,45.58823529,0,[word_response],subject-15.csv,1040,0,19614,5
,0,4.64,4.8,190.4,3,building,177,8,4,,Noun,Noun,6,3,,2,1,food,w,43.05555556,0,[word_response],subject-15.csv,3000,0,18992,19040
30,,,0,,0,their,,,4,1,,,,,1,,,fodo,nw,75,0,[nonword_response],subject-1.csv,476,0,0,0
,0,3.54,1.68,0.19,3,oaken,#N/A,5,5,,Adjective,Determiner,,3,,2,1,whose,w,39.74358974,0,[word_response],subject-15.csv,632,0,19834,19
,0,,3.08,0.14,3,stippled ,#N/A,9,5,,Verb,Noun,,4,,2,1,trade,w,39.24050633,0,[word_response],subject-15.csv,635,0,19981,14
,0,3.64,2.35,32.48,3,cycle,44,5,8,,Verb,Noun,,7,,2,2,language,w,38.27160494,0,[word_response],subject-15.csv,3000,0,18778,3248
,0,2.94,3.61,172.76,3,systems,154,7,5,,Noun,Adjective,,,,2,1,short,w,39.13043478,0,[word_response],subject-15.csv,3000,0,18652,17276
,0,4.04,2.5,6.46,3,oval,9,4,7,,Adjective,Noun,,3,,2,1,hipster,w,39,0,[word_response],subject-15.csv,3000,0,19060,646
,0,4.18,3.82,1.04,3,fart,#N/A,4,6,,Verb,Adverb,,4,,1,1,course,w,38.61386139,0,[word_response],subject-15.csv,3000,0,19694,104
,0,,3.03,0.14,3,gimlet,#N/A,6,6,,Noun,Verb,,,,2,2,coding,w,38.83495146,0,[word_response],subject-15.csv,3000,0,494,14
,0,3.25,3.2,737.78,3,year,343,4,7,,Noun,Noun,,6,,1,2,hundred,w,40,0,[word_response],subject-15.csv,3000,0,19109,73778
