age,bigram_frequency,concreteness,correct,diversity,word_freq,initial,letters,response_time,sex,subject,item,trans_prob
20,26,2.46,1,3,27467,wrongful,3,458,0,7,act,0.07804878
22,51,3.48,1,2,1637,wartime,6,459,0,17,allies,0.048710602
20,,,1,,,bag,5,459,1,19,ampts,0
21,,,1,,,march,6,459,0,2,ancsed,0
19,10,2.74,1,8,15429,finite,6,459,0,23,amount,0.025316456
19,10,3.48,1,103,1637,natural,6,459,1,27,allies,0.015857492
19,,,1,,,clearly,6,459,1,27,awcked,0
19,0,2.38,1,0,30410,yonder,4,459,1,3,able,0
22,11,2.45,1,16,3304,recruit,6,459,0,31,affair,0.041797283
22,,,1,,,saved,6,459,0,31,ashrim,0
20,,,1,,,easter,5,459,0,7,aroit,0
19,,,1,,,force,6,460,0,11,aished,0
22,0,3.14,1,0,4254,habitat,5,460,1,12,alive,0
21,0,3.32,1,0,7290,wicket,6,460,1,15,active,0
20,13,3.97,1,26,966,climb,6,460,1,19,aboard,0.004906334
21,0,3.97,1,0,966,comely,6,460,1,22,aboard,0
19,15,2.31,1,6,5780,virtual,7,460,1,9,absence,0.013559322
22,22,2.71,1,7,3597,racial,5,461,1,12,abuse,0.01875
22,,,1,,,form,6,461,1,12,arnths,0
21,0,3.08,1,0,15891,oaf,7,461,1,14,account,0
21,0,3.33,1,0,25748,dissemble,5,461,1,16,above,0
20,,,1,,,fire,5,461,1,19,aifes,0
21,,,1,,,easy,3,461,1,20,ags,0
19,,,1,,,manage,4,461,0,23,acth,0.016881827
19,,,1,,,bag,5,461,1,24,ampts,0
20,25,2.86,1,155,22099,common,6,461,1,25,action,0.000712368
19,0,2.71,1,0,10940,taxes,6,461,1,3,access,0
20,33,2.72,1,148,3941,working,6,461,1,30,abroad,0.0007179
20,0,2.31,1,0,5780,ribbed,7,461,1,30,absence,0
20,11,2.45,1,16,3304,recruit,6,461,0,32,affair,0.041797283
20,,,1,,,march,6,461,0,4,ancsed,0
19,,,1,,,mug,6,461,1,9,alched,0
21,,,1,,,front,5,462,1,10,apths,0
19,17,3,1,196,8238,four,3,462,0,11,add,0.000303523
19,,,1,,,fire,5,462,0,11,aifes,0
21,10,2,1,119,56231,green,5,462,1,14,again,0.00177632
21,11,4.11,1,122,19076,former,3,462,1,15,air,0.001237259
21,0,3.08,1,0,15891,oaf,7,462,1,15,account,0
